,name,company,year,Price,kms_driven,fuel_type,company_grouped
90,BMW 3 Series,BMW,2011,600000,60500,Petrol,Other
91,Maruti Suzuki A,Maruti,2011,189500,12500,Petrol,Maruti
92,Toyota Etios GD,Toyota,2013,350000,60000,Diesel,Toyota
93,Ford Figo Diesel,Ford,2012,210000,35000,Diesel,Ford
94,Maruti Suzuki Swift,Maruti,2014,390000,35000,Petrol,Maruti
95,Chevrolet Beat LT,Chevrolet,2012,135000,45000,Diesel,Chevrolet
96,BMW 7 Series,BMW,2009,1600000,35000,Petrol,Other
97,Mahindra XUV500 W8,Mahindra,2013,701000,38000,Diesel,Mahindra
98,Hyundai i10 Magna,Hyundai,2014,265000,18000,Petrol,Hyundai
99,Hyundai Verna Fluidic,Hyundai,2015,525000,35000,Diesel,Hyundai
100,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol,Maruti
101,Maruti Suzuki Ertiga,Maruti,2016,635000,29000,Petrol,Maruti
102,Ford EcoSport Titanium,Ford,2014,550000,44000,Diesel,Ford
103,Maruti Suzuki Ertiga,Maruti,2016,575000,29000,Petrol,Maruti
104,Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel,Maruti
105,Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol,Maruti
106,Hyundai Grand i10,Hyundai,2014,345000,49000,Diesel,Hyundai
107,Honda Amaze 1.2,Honda,2014,325000,42000,Petrol,Honda
108,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel,Hyundai
109,Ford Figo Diesel,Ford,2014,195000,50000,Diesel,Ford
110,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol,Maruti
111,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol,Maruti
112,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol,Maruti
113,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol,Maruti
114,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol,Maruti
115,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel,Maruti
116,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol,Maruti
117,Maruti Suzuki Dzire,Maruti,2015,450000,104000,Diesel,Maruti
118,Toyota Etios Liva,Toyota,2014,270000,55000,Petrol,Toyota
119,Hyundai i20 Sportz,Hyundai,2011,350000,33333,Diesel,Hyundai
120,Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol,Chevrolet
121,Maruti Suzuki Alto,Maruti,2017,350000,5600,Petrol,Maruti
122,Nissan Micra XV,Nissan,2011,179000,41000,Petrol,Other
123,Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol,Maruti
124,Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol,Maruti
125,Honda Amaze 1.5,Honda,2013,299000,45000,Diesel,Honda
126,Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol,Maruti
127,Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol,Chevrolet
128,Honda City 1.5,Honda,2010,285000,35000,Petrol,Honda
129,Ford EcoSport Trend,Ford,2016,830000,24330,Diesel,Ford
130,Hyundai i20 Asta,Hyundai,2009,210000,65480,Petrol,Hyundai
131,Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol,Maruti
132,Tata Indica V2,Tata,2006,90000,20000,Petrol,Tata
133,Hindustan Motors Ambassador,Hindustan,2000,70000,200000,Diesel,Other
134,Toyota Corolla Altis,Toyota,2010,289999,70000,Petrol,Toyota
135,Toyota Corolla Altis,Toyota,2012,349999,59000,Petrol,Toyota
136,Toyota Innova 2.5,Toyota,2012,849999,99000,Diesel,Toyota
137,Volkswagen Jetta Highline,Volkswagen,2014,749999,46000,Diesel,Other
138,Volkswagen Polo Comfortline,Volkswagen,2015,399999,2800,Petrol,Other
139,Volkswagen Polo,Volkswagen,2014,274999,32000,Petrol,Other
140,Mahindra Scorpio,Mahindra,2015,984999,22000,Diesel,Mahindra
141,Renault Duster,Renault,2014,449999,50000,Diesel,Renault
142,Honda Amaze,Honda,2015,344999,22000,Petrol,Honda
143,Nissan Sunny,Nissan,2012,224999,45000,Petrol,Other
144,Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol,Hyundai
145,Renault Kwid,Renault,2016,244999,11000,Petrol,Renault
146,Renault Duster,Renault,2013,399999,41000,Diesel,Renault
147,Ford EcoSport,Ford,2017,489999,39000,Petrol,Ford
148,Renault Duster,Renault,2014,474999,50000,Diesel,Renault
149,Mahindra Scorpio VLX,Mahindra,2011,499999,66000,Diesel,Mahindra
150,Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol,Maruti
151,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol,Chevrolet
152,Datsun Redi GO,Datsun,2016,245000,7000,Petrol,Other
153,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel,Maruti
154,Fiat Punto Emotion,Fiat,2012,169500,37200,Diesel,Other
155,Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel,Maruti
156,Toyota Etios GD,Toyota,2013,275000,24800,Petrol,Toyota
157,Hyundai i20 Sportz,Hyundai,2014,370000,60000,Diesel,Hyundai
158,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol,Hyundai
159,Chevrolet Beat LT,Chevrolet,2011,150000,40000,Diesel,Chevrolet
160,Chevrolet Beat LS,Chevrolet,2011,145000,45000,Diesel,Chevrolet
161,Chevrolet Beat LT,Chevrolet,2012,98500,38000,Diesel,Chevrolet
162,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel,Mahindra
163,Tata Indigo CS,Tata,2011,85000,11400,Diesel,Tata
164,Toyota Corolla Altis,Toyota,2015,575000,42000,Petrol,Toyota
165,Honda City 1.5,Honda,2014,549000,39000,Petrol,Honda
166,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel,Maruti
167,Hyundai Eon Era,Hyundai,2013,185000,27000,Petrol,Hyundai
168,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Mahindra
169,Mahindra XUV500,Mahindra,2014,699999,52000,Diesel,Mahindra
170,Honda Brio,Honda,2012,224999,30000,Petrol,Honda
171,Ford Fiesta,Ford,2011,274999,55000,Diesel,Ford
172,Honda Amaze,Honda,2013,284999,46000,Diesel,Honda
173,Honda City,Honda,2015,599999,30000,Diesel,Honda
174,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol,Maruti
175,Honda City,Honda,2014,544999,45000,Diesel,Honda
176,Hyundai i20,Hyundai,2009,199000,31000,Petrol,Hyundai
177,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,Tata
178,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel,Hyundai
179,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel,Mahindra
180,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol,Other
181,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,Other
182,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Other
183,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol,Hyundai
184,Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol,Maruti
185,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol,Maruti
186,Honda City,Honda,2015,448999,54000,Petrol,Honda
187,Hyundai Creta 1.6,Hyundai,2017,895000,32000,Petrol,Hyundai
188,Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel,Mahindra
189,Mahindra Scorpio SLE,Mahindra,2012,565000,62000,Diesel,Mahindra
190,Toyota Innova 2.5,Toyota,2006,365000,73000,Diesel,Toyota
191,Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol,Maruti
192,Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol,Maruti
193,Tata Nano Cx,Tata,2013,40000,2200,Petrol,Tata
194,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol,Maruti
195,Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol,Maruti
196,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol,Maruti
197,Tata Sumo Victa,Tata,2012,285000,65000,Diesel,Tata
198,Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol,Maruti
199,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol,Maruti
200,Volkswagen Passat Diesel,Volkswagen,2009,450000,97000,Diesel,Other
201,Renault Scala RxL,Renault,2015,375000,25000,Diesel,Renault
202,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,Mahindra
203,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol,Hyundai
204,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol,Hyundai
205,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,Mahindra
206,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel,Mahindra
207,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,Renault
208,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel,Mahindra
209,Force Motors Force,Force,2015,580000,3200,Diesel,Other
210,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel,Maruti
211,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel,Mahindra
212,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol,Maruti
213,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel,Mahindra
214,Toyota Etios,Toyota,2011,275000,36000,Diesel,Toyota
215,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel,Other
216,Honda City ZX,Honda,2008,110000,45000,Petrol,Honda
217,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol,Maruti
218,Honda City VX,Honda,2016,519000,52000,Diesel,Honda
219,Mahindra Thar CRDe,Mahindra,2016,730000,29000,Diesel,Mahindra
220,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel,Other
221,Audi A4 1.8,Audi,2009,699000,47000,Petrol,Other
222,Mercedes Benz GLA,Mercedes,2015,2000000,20000,Diesel,Other
223,Land Rover Freelander,Land,2015,2100000,30000,Diesel,Other
224,Renault Kwid RXT,Renault,2017,340000,5000,Petrol,Renault
225,Tata Aria Pleasure,Tata,2014,390000,35000,Diesel,Tata
226,Mercedes Benz B,Mercedes,2014,1400000,31000,Petrol,Other
227,Datsun GO T,Datsun,2016,245000,7000,Petrol,Other
228,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,Tata
229,Tata Indigo eCS,Tata,2016,320000,175400,Diesel,Tata
230,Honda Jazz VX,Honda,2016,450000,41000,Petrol,Honda
231,Honda Amaze 1.2,Honda,2014,311000,33000,Petrol,Honda
232,Honda Amaze,Honda,2013,284999,46000,Diesel,Honda
233,Honda City,Honda,2012,399999,45000,Petrol,Honda
234,Honda City,Honda,2015,599999,39000,Diesel,Honda
235,Honda Amaze,Honda,2015,344999,22000,Petrol,Honda
236,Audi A4 1.8,Audi,2009,699000,47000,Petrol,Other
237,Force Motors Force,Force,2015,580000,3200,Diesel,Other
238,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel,Mahindra
239,Hyundai i20 Active,Hyundai,2015,535000,37000,Diesel,Hyundai
240,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Other
241,Maruti Suzuki Ciaz,Maruti,2017,699000,14000,Petrol,Maruti
242,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel,Chevrolet
243,Honda Amaze,Honda,2013,284999,46000,Diesel,Honda
244,Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol,Hyundai
245,Tata Sumo Gold,Tata,2013,300000,50000,Diesel,Tata
246,Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol,Maruti
247,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol,Maruti
248,Maruti Suzuki Eeco,Maruti,2015,255000,9300,Petrol,Maruti
249,Chevrolet Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel,Chevrolet
250,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel,Hyundai
251,Ford Figo Diesel,Ford,2014,195000,50000,Diesel,Ford
252,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol,Maruti
253,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol,Maruti
254,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol,Maruti
255,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol,Maruti
256,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol,Maruti
257,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel,Maruti
258,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol,Maruti
259,Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol,Maruti
260,Mini Cooper S,Mini,2013,1891111,13500,Petrol,Other
261,Nissan Terrano XL,Nissan,2015,499999,60000,Diesel,Other
262,Renault Duster 85,Renault,2013,489999,27000,Diesel,Renault
263,Renault Duster 85,Renault,2014,489999,59000,Diesel,Renault
264,Renault Duster 85,Renault,2015,549999,19000,Diesel,Renault
265,Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol,Maruti
266,Renault Kwid RXT,Renault,2018,325000,15000,Petrol,Renault
267,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol,Maruti
268,Renault Kwid 1.0,Renault,2018,349999,10000,Petrol,Renault
269,Renault Lodgy 85,Renault,2018,689999,20000,Diesel,Renault
270,Renault Scala RxL,Renault,2014,349999,49000,Diesel,Renault
271,Hyundai Grand i10,Hyundai,2014,410000,41000,Petrol,Hyundai
272,Maruti Suzuki Swift,Maruti,2011,225000,45000,Petrol,Maruti
273,Chevrolet Beat LS,Chevrolet,2010,120000,43000,Petrol,Chevrolet
274,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,Tata
275,Hyundai Santro Xing,Hyundai,2000,59000,56450,Petrol,Hyundai
276,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel,Hyundai
277,Chevrolet Beat LS,Chevrolet,2010,80000,56000,Petrol,Chevrolet
278,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel,Mahindra
279,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol,Other
280,Chevrolet Beat LS,Chevrolet,2015,220000,32700,Petrol,Chevrolet
281,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,Other
282,Ford EcoSport Titanium,Ford,2016,599000,30000,Diesel,Ford
283,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol,Hyundai
284,Mahindra TUV300 T4,Mahindra,2016,675000,9000,Diesel,Mahindra
285,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Other
286,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Other
287,Tata Indica V2,Tata,2008,150000,11000,Petrol,Tata
288,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Other
289,Tata Indigo CS,Tata,2009,72500,46000,Diesel,Tata
290,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol,Maruti
291,Mahindra Scorpio VLX,Mahindra,2004,230000,160000,Diesel,Mahindra
292,Honda Accord,Honda,2009,175000,58559,Petrol,Honda
293,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel,Mahindra
294,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel,Chevrolet
295,Ford EcoSport Titanium,Ford,2014,520000,57000,Diesel,Ford
296,Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel,Maruti
297,Honda Amaze,Honda,2014,299999,37000,Petrol,Honda
298,Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol,Maruti
299,Honda City,Honda,2011,284999,55000,Petrol,Honda
300,Mahindra Scorpio 2.6,Mahindra,2007,220000,170000,Diesel,Mahindra
301,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel,Maruti
302,Honda City,Honda,2015,644999,39000,Petrol,Honda
303,Honda Mobilio,Honda,2014,399999,44000,Petrol,Honda
304,Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol,Toyota
305,Honda City,Honda,2014,584999,39000,Petrol,Honda
306,Skoda Laura,Skoda,2012,349999,44000,Diesel,Other
307,Renault Duster,Renault,2015,449999,49000,Diesel,Renault
308,Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel,Maruti
309,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel,Maruti
310,Mahindra XUV500,Mahindra,2014,649999,47000,Diesel,Mahindra
311,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel,Hyundai
312,Maruti Suzuki Vitara,Maruti,2016,689999,29000,Diesel,Maruti
313,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol,Maruti
314,Mahindra Scorpio,Mahindra,2015,944999,45000,Diesel,Mahindra
315,Honda Amaze,Honda,2014,274999,35000,Petrol,Honda
316,Mahindra XUV500,Mahindra,2013,689999,80000,Diesel,Mahindra
317,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel,Mahindra
318,Skoda Laura,Skoda,2013,374999,50000,Diesel,Other
319,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel,Other
320,Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol,Hyundai
321,Tata Manza Aura,Tata,2012,130000,72000,Diesel,Tata
322,Chevrolet Sail UVA,Chevrolet,2013,210000,60000,Petrol,Chevrolet
323,Renault Duster 110,Renault,2012,501000,38000,Diesel,Renault
324,Hyundai Verna Fluidic,Hyundai,2013,401000,45000,Diesel,Hyundai
325,Audi A4 2.0,Audi,2012,1350000,40000,Diesel,Other
326,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol,Hyundai
327,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel,Mahindra
328,Mahindra KUV100 K8,Mahindra,2016,400000,20000,Diesel,Mahindra
329,Renault Scala RxL,Renault,2015,375000,25000,Diesel,Renault
330,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,Mahindra
331,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol,Hyundai
332,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol,Hyundai
333,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,Mahindra
334,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol,Hyundai
335,Hyundai i20,Hyundai,2014,449999,23000,Petrol,Hyundai
336,Hyundai Eon,Hyundai,2014,174999,14000,Petrol,Hyundai
337,Hyundai i10,Hyundai,2012,244999,38000,Petrol,Hyundai
338,Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel,Hyundai
339,Datsun Redi GO,Datsun,2017,244999,22000,Petrol,Other
340,Toyota Etios Liva,Toyota,2011,239999,41000,Petrol,Toyota
341,Hyundai Accent,Hyundai,2010,99999,45000,Petrol,Hyundai
342,Hyundai Verna,Hyundai,2014,489999,44000,Diesel,Hyundai
343,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel,Maruti
344,Toyota Fortuner,Toyota,2011,1074999,52000,Diesel,Toyota
345,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol,Hyundai
346,Mahindra Bolero Power,Mahindra,2018,699000,1800,Diesel,Mahindra
347,Mahindra XUV500,Mahindra,2015,1000000,15000,Diesel,Mahindra
348,Honda City 1.5,Honda,2010,240000,400000,Petrol,Honda
349,Chevrolet Spark LT,Chevrolet,2009,110000,44000,Petrol,Chevrolet
350,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel,Mahindra
351,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,Renault
352,Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel,Mahindra
353,Tata Indigo eCS,Tata,2014,250000,40000,Diesel,Tata
354,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel,Mahindra
355,Force Motors Force,Force,2015,580000,3200,Diesel,Other
356,Skoda Rapid Elegance,Skoda,2013,340000,48000,Diesel,Other
357,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel,Tata
358,Maruti Suzuki Alto,Maruti,2015,265000,12000,Petrol,Maruti
359,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel,Maruti
360,Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol,Maruti
361,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel,Mahindra
362,Hyundai i10 Magna,Hyundai,2011,175000,45000,Petrol,Hyundai
363,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol,Maruti
364,Maruti Suzuki Swift,Maruti,2016,350000,166000,Diesel,Maruti
365,Honda City ZX,Honda,2008,149000,42000,Petrol,Honda
366,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel,Mahindra
367,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel,Mahindra
368,Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel,Chevrolet
369,Honda City 1.5,Honda,2010,225000,70000,Petrol,Honda
370,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol,Hyundai
371,Toyota Innova 2.5,Toyota,2012,770000,0,Diesel,Toyota
